city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,region_first,recurrence_rate,cost_per_family
TUMAUINI,ISABELA,2,57218.0,0.0,0.0,0.0,1602358.2,0.6666666666666666,0.0,0.0,0.0,0.0,3,2,1.0,136.05826611191304
TUNGA,LEYTE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,1.0,0.0
TUPI,SOUTH COTABATO,12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,1.0,0.0
TUY,BATANGAS,4A,3416.0,0.0,0.0,0.0,59145.75,0.125,0.0,0.0,0.0,0.0,8,4A,1.3333333333333333,74.77338811630847
UBAY,BOHOL,7,95957.0,13.0,0.0,0.0,10366700.0,0.5,0.0,0.0,0.0,0.0,2,7,0.4,442.8510401982144
UMINGAN,PANGASINAN,1,34958.0,0.0,0.0,0.0,3749683.85,0.25,0.0,0.0,0.0,0.0,4,1,0.8,405.8977971422386
UNISAN,QUEZON,4A,12538.0,0.0,0.0,0.0,1013360.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,7,4A,1.1666666666666667,235.39140534262486
UNKNOWN,ALBAY,5,0.0,0.0,0.0,0.0,53214011.15,0.0,0.0,0.0,0.0,0.0,2,5,2.0,53214011.15
UNKNOWN,AURORA,3,0.0,0.0,0.0,0.0,11854752.45,0.0,0.0,0.0,0.0,0.0,1,3,1.0,11854752.45
UNKNOWN,BATAAN,3,0.0,0.0,0.0,0.0,42588.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,42588.0
UNKNOWN,BULACAN,3,0.0,0.0,0.0,0.0,11555200.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,11555200.0
UNKNOWN,CAGAYAN,2,0.0,0.0,0.0,0.0,6075963.76,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3,2,1.0,6075963.76
UNKNOWN,CAMARINES NORTE,5,0.0,0.0,0.0,0.0,17600139.86,0.3333333333333333,0.0,0.0,0.0,0.0,3,5,0.6,17600139.86
UNKNOWN,CAMARINES SUR,5,0.0,0.0,0.0,0.0,88668855.95,0.0,0.0,0.0,0.0,0.0,2,5,2.0,88668855.95
UNKNOWN,CATANDUANES,5,0.0,0.0,0.0,0.0,109439487.35,0.0,0.0,0.0,0.0,0.0,2,5,2.0,109439487.35
UNKNOWN,ILOCOS SUR,1,0.0,0.0,0.0,0.0,2221880.38,1.0,0.0,0.0,0.0,0.0,1,1,1.0,2221880.38
UNKNOWN,LA UNION,1,0.0,0.0,0.0,0.0,441252.39,1.0,0.0,0.0,0.0,0.0,1,1,1.0,441252.39
UNKNOWN,MASBATE,5,0.0,0.0,0.0,0.0,1850000.0,0.0,0.0,0.0,0.0,0.0,2,5,2.0,1850000.0
UNKNOWN,PANGASINAN,1,0.0,0.0,0.0,0.0,31020.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,31020.0
UNKNOWN,SORSOGON,5,0.0,0.0,0.0,0.0,4990240.0,0.0,0.0,0.0,0.0,0.0,2,5,2.0,4990240.0
UPI,MAGUINDANAO,Barmm,47456.0,7.0,0.0,3.0,0.0,0.25,0.0,0.25,0.25,0.25,4,Barmm,1.0,0.0
URBIZTONDO,PANGASINAN,1,55583.0,0.0,0.0,0.0,4133650.0,0.25,0.0,0.0,0.0,0.0,4,1,1.0,388.17259836604376
URDANETA,PANGASINAN,1,48106.0,0.0,0.0,0.0,5003835.77,0.14285714285714285,0.0,0.0,0.0,0.0,7,1,1.4,358.80078660547827
USON,MASBATE,5,6806.0,0.0,0.0,0.0,62500.0,0.0,0.0,0.0,0.0,0.0,8,5,1.6,36.80800942285041
UYUGAN,BATANES,2,7113.0,0.0,17.0,0.0,2634400.0,0.4,0.2,0.0,0.0,0.0,5,2,1.25,1272.042491549976
VALDERRAMA,ANTIQUE,6,6776.0,0.0,0.0,0.0,15659086.32,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,9,6,1.8,9382.316548831635
VALENCIA,BOHOL,7,24297.0,2.0,0.0,0.0,1315990.0,0.5,0.0,0.0,0.0,0.0,2,7,0.5,154.74952963311384
VALENCIA,BUKIDNON,10,12105.0,0.0,0.0,0.0,179149.0,0.0,0.0,0.5,0.5,0.25,4,10,0.8,47.760330578512395
VALENCIA,NEGROS ORIENTAL,7,1673.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,0.0
VALENZUELA,NCR,Ncr,116732.0,0.0,0.0,0.0,7686198.06,0.125,0.0,0.0,0.0,0.0,8,Ncr,1.3333333333333333,259.8707799979714
VALLADOLID,NEGROS OCCIDENTAL,6,128065.0,0.0,0.0,0.0,11691000.68,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,9,6,1.8,367.16813793536636
VALLEHERMOSO,NEGROS ORIENTAL,7,19630.0,0.0,0.0,0.0,3680190.0,0.5,0.0,0.0,0.0,0.0,2,7,0.5,628.6624530235737
VERUELA,AGUSAN DEL SUR,Caraga,19192.0,0.0,0.0,0.0,310343.0,0.0,0.0,0.0,0.0,0.0,3,Caraga,1.0,79.10859036451696
VICTORIA,LAGUNA,4A,5569.0,0.0,0.0,0.0,40720.0,0.0,0.0,0.0,0.0,0.0,4,4A,0.6666666666666666,31.713395638629283
VICTORIA,ORIENTAL MINDORO,4B,24361.0,0.0,0.0,0.0,844718.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,6,4B,1.0,159.35068854933033
VICTORIA,TARLAC,3,18148.0,0.0,0.0,0.0,658585.8,0.14285714285714285,0.0,0.0,0.0,0.0,7,3,1.75,139.00080202617139
VICTORIAS CITY,NEGROS OCCIDENTAL,6,77312.0,0.0,0.0,0.0,543372.0,0.0,0.16666666666666666,0.0,0.0,0.0,6,6,1.5,32.459498207885304
VICTORIAS CITY,NORTHERN SAMAR,8,15834.0,0.0,0.0,0.0,1037000.0,0.25,0.0,0.0,0.0,0.0,4,8,0.8,142.5429553264605
VIGA,CATANDUANES,5,57120.0,0.0,0.0,0.0,622000.0,0.0,0.0,0.0,0.0,0.0,6,5,1.0,41.230279729550574
VIGAN,ILOCOS SUR,1,56517.0,0.0,0.0,0.0,2778423.32,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,9,1,1.8,196.57728314702135
VILLABA,LEYTE,8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,1.5,0.0
VILLANUEVA,MISAMIS ORIENTAL,10,759.0,0.0,0.0,0.0,722498.8,0.0,0.0,0.0,0.0,0.25,4,10,1.0,3884.4021505376345
VILLANUEVA,MISAMIS ORIENTAL,9,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
VILLAREAL,SAMAR,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1.0,0.0
VILLASIS,PANGASINAN,1,3575.0,0.0,0.0,0.0,153200.0,0.0,0.0,0.0,0.0,0.0,2,1,0.6666666666666666,165.26429341963322
VILLAVERDE,NUEVA VIZCAYA,2,434.0,0.0,0.0,0.0,62740.0,0.6666666666666666,0.0,0.0,0.0,0.0,3,2,1.0,490.15625
VILLAVICIOSA,ABRA,Car,19170.0,0.0,2.0,0.0,1079989.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,7,Car,1.4,194.102983465133
VINTAR,ILOCOS NORTE,1,35431.0,0.0,0.0,0.0,1981489.64,0.3333333333333333,0.0,0.0,0.0,0.0,6,1,1.5,179.82481531899447
VINZONS,CAMARINES NORTE,5,72526.0,0.0,0.0,0.0,7604896.0,0.2,0.0,0.0,0.0,0.0,10,5,2.0,420.6480446927374
VINZONS,CAMARINES SUR,5,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1.0,0.0
VIRAC,BENGUET,Car,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Car,1.0,0.0
VIRAC,CATANDUANES,5,170322.0,0.0,13.0,0.0,11845434.5,0.0,0.0,0.0,0.0,0.0,9,5,1.5,269.0676562783936
ZAMBOANGA CITY,ZAMBOANGA CITY,9,96666.0,7.0,0.0,0.0,13865559.72,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,6,9,1.2,658.8842292339859
ZAMBOANGUITA,NEGROS ORIENTAL,7,2927.0,0.0,0.0,0.0,608170.0,0.5,0.0,0.0,0.0,0.0,2,7,0.5,401.6974900924703
ZARAGOZA,NUEVA ECIJA,3,79644.0,0.0,0.0,0.0,3866234.64,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,7,3,1.1666666666666667,129.65240241448691
ZARRAGA,ILOILO,6,63794.0,1.0,0.0,0.0,7457863.5,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,7,6,1.1666666666666667,426.4072898799314
ZUMARRAGA,SAMAR,8,6520.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1.0,0.0
