typhoon_name,year,region,province,city_municipality,families,person,brgy,dead,injured_ill,missing,totally,partially,total,cost,has_food,has_cash,has_hygiene_health,has_sleeping_essentials,has_shelter_support,aid_diversity
ODETTE,2021,6,ANTIQUE,PATNONGON,1483.0,5779.0,30.0,0.0,0.0,0.0,10.0,525.0,535.0,279788.0,1,0,0,0,0,1
ODETTE,2021,6,ILOILO,PAVIA,722.0,3635.0,18.0,0.0,0.0,0.0,24.0,698.0,722.0,0.0,0,0,0,0,0,0
ODETTE,2021,12,COTABATO,PIKIT,22320.0,89280.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,CAPIZ,PILAR,2554.0,7920.0,23.0,0.0,0.0,0.0,3.0,37.0,40.0,2169415.18,1,1,0,0,0,2
ODETTE,2021,7,BOHOL,PILAR,8149.0,31831.0,21.0,2.0,1.0,0.0,757.0,6537.0,7294.0,3395000.0,1,0,0,0,0,1
ODETTE,2021,7,CEBU,PILAR,962.0,3244.0,13.0,0.0,0.0,0.0,6.0,82.0,88.0,0.0,1,0,0,0,0,1
ODETTE,2021,Caraga,SURIGAO DEL NORTE,PILAR,3539.0,11687.0,15.0,0.0,0.0,0.0,2102.0,839.0,2941.0,0.0,0,1,0,0,0,1
ODETTE,2021,4B,ORIENTAL MINDORO,PINAMALAYAN,62.0,238.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,CEBU,PINAMUNGAHAN,17827.0,71616.0,26.0,0.0,0.0,0.0,4140.0,13687.0,17827.0,3444000.0,1,0,0,0,0,1
ODETTE,2021,8,SOUTHERN LEYTE,PINTUYAN,3172.0,11031.0,23.0,0.0,31.0,0.0,1053.0,1661.0,2714.0,5137568.4,1,1,1,1,1,6
ODETTE,2021,5,MASBATE,PIO V CORPUZ,66.0,248.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,5,MASBATE,PLACER,29.0,120.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,Caraga,SURIGAO DEL NORTE,PLACER,7082.0,35410.0,20.0,0.0,0.0,0.0,881.0,639.0,1520.0,0.0,0,0,0,0,0,0
ODETTE,2021,10,MISAMIS OCCIDENTAL,PLARIDEL,95.0,334.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,CAPIZ,PONTEVEDRA,3437.0,15255.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1207170.34,1,1,0,0,0,2
ODETTE,2021,6,NEGROS OCCIDENTAL,PONTEVEDRA,7946.0,30018.0,20.0,0.0,0.0,0.0,1583.0,6159.0,7742.0,2339209.7,1,1,1,1,0,5
ODETTE,2021,7,CEBU,PORO,6500.0,18849.0,17.0,0.0,0.0,0.0,16.0,1349.0,1365.0,1484000.0,1,0,0,0,0,1
ODETTE,2021,6,ILOILO,POTOTAN,932.0,3933.0,36.0,0.0,0.0,0.0,23.0,135.0,158.0,623422.0,1,1,0,0,0,2
ODETTE,2021,7,BOHOL,PRESIDENT CARLOS P GARCIA,7429.0,24430.0,23.0,5.0,11.0,7.0,3577.0,2634.0,6211.0,5682080.0,1,0,0,0,0,2
ODETTE,2021,9,ZAMBOANGA DEL NORTE,PRESIDENT MANUEL A ROXAS,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,CAPIZ,PRESIDENT ROXAS,9866.0,29598.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,4600.0,0,1,0,0,0,1
ODETTE,2021,Caraga,AGUSAN DEL SUR,PROSPERIDAD,9399.0,36671.0,32.0,0.0,0.0,0.0,22.0,172.0,194.0,0.0,0,0,0,0,0,0
ODETTE,2021,4B,ORIENTAL MINDORO,PUERTO GALERA,27.0,113.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,4B,PALAWAN,PUERTO PRINCESA,36552.0,126937.0,57.0,10.0,0.0,0.0,6128.0,23592.0,29720.0,169841870.1,1,1,1,1,1,7
ODETTE,2021,6,NEGROS OCCIDENTAL,PULUPANDAN,2154.0,9946.0,20.0,0.0,3.0,0.0,201.0,1491.0,1692.0,1378802.5,1,1,1,1,0,5
ODETTE,2021,4B,PALAWAN,QUEZON,368.0,1540.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,349500.0,1,0,1,1,0,3
ODETTE,2021,8,EASTERN SAMAR,QUINAPONDAN,1905.0,8950.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0,1,0,0,0,1
ODETTE,2021,Caraga,AGUSAN DEL NORTE,REMEDIOS T ROMUALDEZ,1743.0,6712.0,8.0,0.0,0.0,0.0,90.0,129.0,219.0,0.0,0,0,0,0,0,0
ODETTE,2021,4B,PALAWAN,RIZAL,13.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,CEBU,RONDA,6309.0,18927.0,14.0,0.0,0.0,0.0,797.0,4343.0,5140.0,1810000.0,1,0,0,0,0,1
ODETTE,2021,Caraga,AGUSAN DEL SUR,ROSARIO,12230.0,45977.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,4B,ORIENTAL MINDORO,ROXAS,9.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,4B,PALAWAN,ROXAS,24091.0,81803.0,31.0,7.0,0.0,0.0,3829.0,14335.0,18164.0,134323756.0,1,1,1,1,1,6
ODETTE,2021,6,CAPIZ,ROXAS CITY,2313.0,7571.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,10,CAMIGUIN,SAGAY ,456.0,1766.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,NEGROS OCCIDENTAL,SAGAY CITY,5734.0,26923.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,BOHOL,SAGBAYAN,8010.0,24030.0,24.0,1.0,3.0,0.0,2116.0,4811.0,6927.0,3021000.0,1,0,0,0,0,1
ODETTE,2021,8,SOUTHERN LEYTE,SAINT BERNARD,7485.0,37425.0,30.0,3.0,0.0,0.0,1721.0,3999.0,5720.0,9553943.5,1,1,1,1,1,7
ODETTE,2021,10,MISAMIS ORIENTAL,SALAY,789.0,2672.0,8.0,0.0,0.0,0.0,38.0,312.0,350.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,EASTERN SAMAR,SALCEDO,6429.0,24016.0,41.0,0.0,0.0,0.0,0.0,367.0,367.0,0.0,0,0,0,0,0,0
