city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
SIGAY,ILOCOS SUR,1,6198.0,0.0,0.0,0.0,1.0,15.0,19200.22,0.2222222222222222,0.0,0.0,0.0,0.0,18,3.6,12.757621262458473
SIGMA,CAPIZ,6,129633.0,0.0,0.0,0.0,1.0,11.0,8213303.0,0.8,0.4,0.0,0.2,0.2,8,1.6,224.04601871300363
SIKATUNA,BOHOL,7,7373.0,0.0,0.0,0.0,62.0,1346.0,1060000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,505.48402479732954
SILAGO,SOUTHERN LEYTE,8,8049.0,0.0,0.0,0.0,180.0,1990.0,3648511.22,1.0,1.0,1.0,1.0,1.0,1,1.0,1334.9839809732896
SILANG,CAVITE,4A,13335.0,0.0,0.0,0.0,11.0,48.0,528321.0,0.0,0.0,0.0,0.0,0.0,12,2.0,175.7554890219561
SILAY CITY,NEGROS OCCIDENTAL,6,81044.0,0.0,0.0,0.0,578.0,16464.0,2202527.37,0.4444444444444444,0.0,0.0,0.0,0.0,19,3.8,94.17339533093894
SILVINO LOBOS,NORTHERN SAMAR,8,21016.0,0.0,0.0,0.0,441.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6,0.0
SIMUNUL,TAWI TAWI,BARMM,355.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SINACABAN,MISAMIS OCCIDENTAL,10,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SINAIT,ILOCOS SUR,1,1502.0,0.0,0.0,0.0,1.0,156.0,1398.9099999999999,0.14285714285714285,0.0,0.0,0.0,0.0,13,2.6,3.832630136986301
SINILOAN,LAGUNA,4A,57350.0,0.0,0.0,0.0,7.0,68.0,1943716.02,0.0,0.0,0.0,0.0,0.0,12,2.0,133.14947390053433
SIOCON,ZAMBOANGA DEL NORTE,9,127956.0,0.0,0.0,0.0,14.0,5.0,102396.0,0.0,0.25,0.0,0.25,0.0,11,5.5,4.000937756417771
SIPALAY CITY,NEGROS OCCIDENTAL,6,85580.0,18.0,163.0,5.0,3205.0,13820.0,8457872.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,17,3.4,330.8767702057742
SIPOCOT,CAMARINES SUR,5,91401.0,0.0,0.0,0.0,33.0,300.0,5979719.91,0.2222222222222222,0.0,0.0,0.0,0.0,18,3.0,274.4879462933211
SIQUIJOR,SIQUIJOR,7,5373.0,0.0,0.0,0.0,41.0,1354.0,19520.0,0.6666666666666666,0.0,0.0,0.0,0.0,7,1.75,13.397391901166781
SIRAWAI,ZAMBOANGA DEL NORTE,9,66052.0,0.0,0.0,0.0,35.0,47.0,3183335.0,0.5,0.0,0.0,0.0,0.0,11,5.5,186.34519697945325
SIRUMA,CAMARINES SUR,5,51419.0,0.0,0.0,0.0,50.0,398.0,4288081.0,0.25,0.0,0.0,0.0,0.0,10,2.0,351.0791714426068
SISON,PANGASINAN,1,3576.0,4.0,0.0,0.0,2.0,44.0,956595.75,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,12,2.4,876.003434065934
SISON,SURIGAO DEL NORTE,13,302.0,0.0,0.0,0.0,0.0,10.0,83986.5,0.0,0.0,0.0,0.0,0.0,2,2.0,1182.9084507042253
SISON,SURIGAO DEL NORTE,CARAGA,22175.0,2.0,8.0,0.0,559.0,3049.0,8816963.4,0.0,0.0,0.0,0.0,0.0,1,1.0,1988.041352874859
SOCORRO,ORIENTAL MINDORO,4B,33463.0,0.0,0.0,0.0,143.0,4347.0,10520550.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,11,1.8333333333333333,1403.863090472378
SOCORRO,SURIGAO DEL NORTE,CARAGA,35793.0,0.0,0.0,0.0,2918.0,5092.0,19345698.89,0.0,1.0,0.0,0.0,0.0,1,1.0,2097.7769345044458
SOFRONIO ESPAÑOLA,PALAWAN,4B,4057.0,0.0,0.0,0.0,2.0,109.0,563463.0,0.5,0.0,0.0,0.0,0.25,9,1.8,683.8143203883495
SOGOD,CEBU,7,10474.0,0.0,1.0,0.0,0.0,0.0,1060000.0,0.5,0.0,0.0,0.0,0.0,2,1.0,357.38368172623063
SOGOD,SOUTHERN LEYTE,8,49641.0,2.0,0.0,0.0,3054.0,7781.0,10839351.1,0.5,0.5,0.5,0.5,0.5,2,1.0,737.6217148690031
SOLANA,CAGAYAN,2,20908.0,0.0,0.0,0.0,0.0,0.0,3823202.41,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,11,2.75,483.52123561401294
SOLANO,NUEVA VIZCAYA,2,5712.0,0.0,0.0,0.0,52.0,645.0,249480.0,0.3333333333333333,0.0,0.0,0.0,0.0,18,3.0,149.38922155688624
SOLSONA,ILOCOS NORTE,1,40170.0,1.0,0.0,0.0,31.0,709.0,9060.0,0.14285714285714285,0.0,0.0,0.0,0.0,14,3.5,1.0869826034793042
SORSOGON CITY,SORSOGON,5,246381.0,1.0,3.0,0.0,236.0,6236.0,12286110.54,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,21,3.5,242.5113603884568
SOUTH UPI,MAGUINDANAO,BARMM,2235.0,2.0,0.0,0.0,32.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,3,1.0,0.0
STA FE,CEBU,7,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
